create database test;
use database test;
create table test(id int, num float, num2 float unique, name char(10));
create index tester on test(num2);
insert into test values(70703,213933.2415426,-5156.9711436,uvsel);
insert into test values(70704,245349.9054292,15684.2978609,w);
insert into test values(70705,26797.3211340,-4841.2538860,hrkh);
insert into test values(70706,212442.8007568,5113.9967473,rlqancr);
insert into test values(70707,37514.5119723,3070.3325744,tf);
insert into test values(70708,180652.6125573,8786.7607880,eiidpn);
insert into test values(70709,156823.2046288,13940.8823200,o);
insert into test values(70710,141480.0083902,-10762.8035001,retg);
insert into test values(70711,264410.5948118,27640.1680615,bygyrqt);
insert into test values(70712,-19636.4521329,-25848.0513131,mam);
insert into test values(70713,-12238.4381138,-33584.1694225,ovrckb);
insert into test values(70714,1997.3313326,-29507.2251175,y);
insert into test values(70715,247557.4791333,27830.8938499,jrjnm);
insert into test values(70716,260221.1910667,1777.9523079,ltpfnwch);
insert into test values(70717,203383.9555430,15979.6764600,wnu);
insert into test values(70718,186241.2905159,5901.5758548,ghzioh);
insert into test values(70719,236367.0884164,400.2335088,ik);
insert into test values(70720,70854.5420503,-9911.7441403,tesmh);
insert into test values(70721,248786.9210272,-1708.8222758,dgxeiler);
insert into test values(70722,35039.4783739,-24048.1452461,gad);
insert into test values(70723,179561.8739855,15595.1559106,qcqhkvz);
insert into test values(70724,119599.5627969,-3017.1265999,aw);
insert into test values(70725,285575.5185135,34207.9283357,dzbsl);
insert into test values(70726,303664.3414900,36516.5748874,ntodmroj);
insert into test values(70727,13763.4578160,-27782.1786158,yvtw);
insert into test values(70728,165234.8951062,-3587.7271522,apzoncj);
insert into test values(70729,2832.2905442,-6432.0726243,kj);
insert into test values(70730,206204.7980725,10781.3438397,vlrrhn);
insert into test values(70731,207873.7258461,20454.2980304,x);
insert into test values(70732,194734.0083665,8004.1141677,iicc);
insert into test values(70733,217210.2047881,18939.3671120,schnjql);
insert into test values(70734,192196.0919431,2825.2941675,ueu);
insert into test values(70735,13309.7626491,-31589.5262023,fyaykb);
insert into test values(70736,53056.7565083,-22996.4893115,p);
insert into test values(70737,50603.8779131,3640.2713179,svkb);
insert into test values(70738,236404.5218674,3117.8525333,cxyufwug);
insert into test values(70739,90133.1377336,4505.7502394,mrd);
insert into test values(70740,211791.4431157,7894.8852234,plixgh);
insert into test values(70741,-35432.7156238,-24735.8008223,z);
insert into test values(70742,76181.2809418,-12259.4757555,khbai);
insert into test values(70743,224972.2657557,-367.6499469,mkgtikwq);
insert into test values(70744,246879.3377809,4626.3205039,xem);
insert into test values(70745,132352.9133986,6893.3081426,hgzwcvr);
insert into test values(70746,84916.3765634,-12522.8809492,ja);
insert into test values(70747,290881.9670570,31857.7000921,uckhd);
insert into test values(70748,213528.0859188,-3855.6477745,expsergi);
insert into test values(70749,67015.4645804,-9016.0651227,pzck);
insert into test values(70750,118037.1201928,-12288.1891548,rthdfcb);
insert into test values(70751,293229.0189142,24206.0117213,bn);
insert into test values(70752,114178.6871011,-5886.0507787,mpsgh);
insert into test values(70753,258936.3172136,26970.2335777,o);
insert into test values(70754,247982.8895070,26770.4079618,zmlr);
insert into test values(70755,170011.2656543,10238.7499102,jgqcbqd);
insert into test values(70756,176476.7291777,20790.5145005,li);
insert into test values(70757,105157.8721458,12112.5950874,wcjndt);
insert into test values(70758,104115.5188433,-16482.1325934,g);
insert into test values(70759,37568.6242395,-19301.1099445,jytq);
insert into test values(70760,212589.8853024,4459.0276561,tbhjfwmf);
insert into test values(70761,301977.9626277,33179.9732818,dvm);
insert into test values(70762,237341.5949226,9888.1958886,gprmyh);
insert into test values(70763,15589.2570664,-18224.9715026,q);
insert into test values(70764,81508.0120359,-14607.2070439,blkpa);
insert into test values(70765,201155.5909354,972.2509756,dnphakop);
insert into test values(70766,133627.1905030,-6848.8203555,niu);
insert into test values(70767,110737.1628039,9226.2476925,ykalcn);
insert into test values(70768,50223.6591710,-22029.7652007,ae);
insert into test values(70769,296205.6836418,29509.6044724,lgswd);
insert into test values(70770,189713.4268546,-2514.4742901,vayowrxh);
insert into test values(70771,31572.2115778,-5168.2193536,xcd);
insert into test values(70772,70829.7482504,-20989.8041251,ixqrxct);
insert into test values(70773,258544.7820784,14700.0980470,sr);
insert into test values(70774,119507.4294977,-8232.5059979,vtbvz);
insert into test values(70775,178279.1848069,-6001.2438022,fnonafzr);
insert into test values(70776,234942.2365426,3828.2935590,qpug);
insert into test values(70777,122803.0355757,1536.9951071,sjzqbqv);
insert into test values(70778,141777.8678587,11282.8039957,cm);
insert into test values(70779,130702.3016084,14105.1855407,ngsbvt);
insert into test values(70780,155174.6719324,-9967.6667905,p);
insert into test values(70781,90821.4900005,-534.4690965,accf);
insert into test values(70782,108487.6385349,-17644.4516822,kehxxwe);
insert into test values(70783,188730.3037160,21705.3722769,mzv);
insert into test values(70784,262891.7452330,11881.5073571,xtaayh);
insert into test values(70785,66637.2958396,-11712.3381154,h);
insert into test values(70786,205492.5296117,-6458.2391471,kpll);
insert into test values(70787,177340.9465838,2313.4270740,urywskgo);
insert into test values(70788,20376.5525964,-18323.3932119,eld);
insert into test values(70789,136287.2284101,11219.5358654,hojhun);
insert into test values(70790,303201.9383596,26692.8871510,r);
insert into test values(70791,301531.2156277,27161.7330764,ckbkv);
insert into test values(70792,165896.7460427,-1174.5718030,eehdwrpg);
insert into test values(70793,243413.3079689,23505.3453989,ogm);
insert into test values(70794,23632.9956813,-29689.8821138,zazgybl);
insert into test values(70795,223861.0336510,5194.2461088,bv);
insert into test values(70796,124834.1496187,-10580.2336335,mxkjr);
insert into test values(70797,154462.5009133,-4661.3406143,wrpcsfrq);
insert into test values(70798,288197.0705780,22595.3256972,ytdu);
insert into test values(70799,75605.2289390,-7163.4441777,jniftin);
insert into test values(70800,107093.4792218,1776.8898426,tp);
insert into test values(70801,14436.9839621,-6612.9560329,wksqv);
insert into test values(70802,206233.9919496,-3453.1647233,g);
insert into test values(70803,77786.4787947,-23475.8705295,qglt);
insert into test values(70804,127600.6443809,15366.0937329,tiqmpww);
insert into test values(70805,315475.9396378,38514.4270257,dc);
insert into test values(70806,-36618.4433642,-26270.4400596,owjpqh);
insert into test values(70807,117696.3610814,-5197.9166597,q);
insert into test values(70808,258746.6780717,12308.7061720,btua);
insert into test values(70809,153524.2967389,3653.3345658,lvhlscyn);
insert into test values(70810,232216.3183714,10350.8581645,npm);
insert into test values(70811,161837.3125369,13212.8316711,yrswun);
insert into test values(70812,29171.1315615,-6939.8926652,i);
insert into test values(70813,-18220.3511131,-15333.7414170,tokzn);
insert into test values(70814,142080.0690806,165.3336966,viqsoqhx);
insert into test values(70815,130162.6861137,12031.4173443,fkv);
insert into test values(70816,-31049.8396362,-29158.1514756,qeavqb);
insert into test values(70817,189169.6311730,-4311.5259052,sy);
insert into test values(70818,130160.8687108,-12927.9611039,dbtyr);
insert into test values(70819,130647.8390059,-3320.1615588,nvyqsfjo);
insert into test values(70820,-38167.1605419,-27995.1725500,pxd);
insert into test values(70821,28398.3786616,-15864.8313202,arrulie);
insert into test values(70822,72400.2502363,-7730.0941924,kt);
insert into test values(70823,19763.6574134,-8960.8725479,nnbfn);
insert into test values(70824,257293.3994784,3061.3544840,x);
insert into test values(70825,131029.8632689,-4710.2967855,hkui);
insert into test values(70826,80372.2588268,6661.8731685,kmzapwo);
insert into test values(70827,280725.3301249,29000.3156747,ug);
insert into test values(70828,-11094.8734012,-24281.0353999,faseqh);
insert into test values(70829,168757.7492571,1317.8540721,h);
insert into test values(70830,-13049.2044124,-9068.8222929,rxdp);
insert into test values(70831,66045.9226238,-12520.9083639,czizlcq);
insert into test values(70832,118963.9754346,-1124.3001925,etv);
insert into test values(70833,187387.4069780,15206.1319095,pvakmn);
insert into test values(70834,80229.9950180,-425.6491913,z);
insert into test values(70835,101582.4529426,-14995.5068371,crlo);
insert into test values(70836,118265.4269884,1506.5175709,mmygoqzw);
insert into test values(70837,16908.7962687,556.5415296,woe);
insert into test values(70838,-5507.0486015,-27167.2385747,zijjib);
insert into test values(70839,316810.3786368,37981.5441086,j);
insert into test values(70840,135487.5860048,-15275.6885386,uecvj);
insert into test values(70841,106831.1533063,-1980.2501787,wyhfkxbn);
insert into test values(70842,173655.1130796,676.6628330,gbm);
insert into test values(70843,-18794.0574536,-24565.5423963,rvaqliw);
insert into test values(70844,37717.5966294,-17235.6899057,tx);
insert into test values(70845,25092.3573080,-11307.4365624,erktf);
insert into test values(70846,95389.0529178,-5466.9593485,otqmfldx);
insert into test values(70847,184284.6088407,14056.7102380,qndx);
insert into test values(70848,33163.3610604,-2039.8095891,bqiphwg);
insert into test values(70849,246039.2915576,19494.1799336,lk);
insert into test values(70850,173485.1216143,-8902.2200565,oetsi);
insert into test values(70851,219817.2413443,7832.3795807,y);
insert into test values(70852,-26119.4099025,-32014.2051977,iald);
